$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	3600-7200	46-255: Hopkins Rd@16.9-428@34.4	255	428	11	11	0	0	0	0.13	0.13				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	46-255: Hopkins Rd@16.9-1243: Hopkins Rd@4.1	255	1243	372	342	0	17	0	0.49	0.49		0.35		0.00	0.00		0.00		LOS_A	1	0.00	0.00	13	0.64	0.00	LOS_A	1
1	3600-7200	46-257@10.6-44: Hopkins Rd@23.1	257	44	71	55	0	11	5	0.43	0.42		0.37	0.68	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	46-257@10.6-104@37.0	257	104	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	46-257@10.6-428@34.4	257	428	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	46-257@10.6-1243: Hopkins Rd@4.1	257	1243	99	67	1	26	5	0.40	0.41	0.38	0.34	0.49	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	46-429@91.6-44: Hopkins Rd@23.1	429	44	20	20	0	0	0	0.76	0.76				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	46-429@91.6-104@37.0	429	104	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	46-429@91.6-1243: Hopkins Rd@4.1	429	1243	7	7	0	0	0	0.69	0.69				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
