$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	46-429@91.6-104@37.0	429	104	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429@91.6-1243: Hopkins Rd@4.1	429	1243	13	13	0	0	0	0.26	0.26				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46			2338	2112	7	186	31	1.09	1.01	2.50	1.79	2.50	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.7	4	212	1353	1301	2	44	4	0.88	0.84	1.57	1.43	0.18	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.02	42.09
1	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	0	0	0	0	0											LOS_A		0.02	42.09
1	3600-7200	47-447@32.5-212: Caroline Springs Blvd@4.7	447	212	2	2	0	0	0	0.01	0.01				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	47-887: Caroline Springs Blvd@16.4-448@12.1	887	448	517	459	2	46	8	0.49	0.43	1.66	0.84	1.22	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	47			1872	1762	4	90	12	0.77	0.73	1.62	1.13	0.87	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.01	42.09
1	3600-7200	49-351: Delma Rd@85.2-352: Eucumbene Dr@37.8	351	352	0	0	0	0	0											LOS_A		0.00	0.00
