$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	7200-10800	120-1236@14.1-1112@5.6	1236	1112	567	534	1	14	16	3.00	3.06	5.91	2.20	1.99	0.06	0.07	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	120-1239@4.2-1099@27.3	1239	1099	1	1	0	0	0	0.21	0.21				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	120-1239@4.2-1107@21.1	1239	1107	0	0	0	0	0											LOS_A		0.00	0.00
1	7200-10800	120-1239@4.2-11576@36.8	1239	11576	2	0	0	0	0	4.90					0.00					LOS_A	1	0.00	0.00
1	7200-10800	120			2630	2495	5	53	49	7.02	7.09	5.34	5.87	8.36	0.40	0.41	0.00	0.09	0.68	LOS_A	1	3.85	257.38
1	7200-10800	121			0	0	0	0	0											LOS_A			
1	7200-10800	122			0	0	0	0	0											LOS_A			
1	7200-10800	123			0	0	0	0	0											LOS_A			
1	7200-10800	124-1123@88.6-1122@4.7	1123	1122	11	11	0	0	0	0.26	0.26				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	124-1130@109.7-1122@4.7	1130	1122	1390	1338	0	26	21	2.01	1.94		2.64	2.81	0.07	0.07		0.00	0.00	LOS_A	1	1.45	74.90
1	7200-10800	124-1130@109.7-1180@8.5	1130	1180	53	53	0	0	0	1.87	1.87				0.15	0.15				LOS_A	1	1.45	74.90
1	7200-10800	124			1454	1402	0	26	21	1.99	1.93		2.64	2.81	0.07	0.07		0.00	0.00	LOS_A	1	0.73	74.90
1	7200-10800	125			0	0	0	0	0											LOS_A			
1	7200-10800	244-1156@962.0-1223@12.7	1156	1223	0	0	0	0	0											LOS_A		256.71	517.03
1	7200-10800	244-1156@962.0-1224@15.7	1156	1224	762	725	0	17	20	40.73	39.65		46.42	75.14	11.97	11.64		15.41	21.06	LOS_E	5	256.71	517.03
1	7200-10800	244-1221@50.0-1224@15.7	1221	1224	0	0	0	0	0											LOS_A		0.00	0.00
1	7200-10800	244-1221@50.0-1225@11.6	1221	1225	0	0	0	0	0											LOS_A		0.00	0.00
1	7200-10800	244-1227@99.3-1223@12.7	1227	1223	0	0	0	0	0											LOS_A		0.00	0.00
1	7200-10800	244-1227@99.3-1225@11.6	1227	1225	719	695	2	12	10	1.06	1.05	3.38	1.14	0.97	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	244			1481	1420	2	29	30	21.47	20.76	3.38	27.69	50.42	6.16	5.94	0.00	9.03	14.04	LOS_C	3	85.57	517.03
1	7200-10800	245			0	0	0	0	0											LOS_A			
1	7200-10800	246-1224@100.1-1229@17.2	1224	1229	76	76	0	0	0	30.05	30.05				7.22	7.22				LOS_D	4	64.99	151.96
1	7200-10800	246-1224@100.1-1230@17.9	1224	1230	686	649	0	17	20	37.43	36.71		39.25	59.23	11.36	11.41		8.63	12.11	LOS_E	5	64.99	151.96
