$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	10800-14400	86-323: Western Hwy@19.6-187: Western Hwy@33.1	323	187	1272	1151	10	78	33	0.25	0.21	0.95	0.53	0.77	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	86			1569	1420	10	97	40	0.26	0.22	0.95	0.54	0.76	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	87-343: Western Hwy@756.7-154: Western Hwy@6.0	343	154	1514	1365	10	97	40	0.26	0.23	1.13	0.46	0.61	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	87-480@343.6-154: Western Hwy@6.0	480	154	55	55	0	0	0	0.03	0.03				0.00	0.00				LOS_A	1	0.00	0.00
2	10800-14400	87			1569	1420	10	97	40	0.25	0.22	1.13	0.46	0.61	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	88-955: Western Fwy@13.7-343: Western Hwy@21.1	955	343	1514	1365	10	97	40	0.31	0.28	1.17	0.49	0.69	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	88-955: Western Fwy@13.7-479@7.3	955	479	0	0	0	0	0											LOS_A		0.00	0.00
2	10800-14400	88			1514	1365	10	97	40	0.31	0.28	1.17	0.49	0.69	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	89-228: Western Fwy@25.7-108@38.1	228	108	204	189	0	11	2	5.32	5.19		6.90	7.32	0.00	0.01		0.00	0.00	LOS_A	1	0.00	4.62
2	10800-14400	89-228: Western Fwy@25.7-194: Western Fwy@23.1	228	194	1933	1830	7	62	34	0.68	0.70	0.25	0.33	0.50	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	4.62
2	10800-14400	89			2137	2019	7	73	36	1.12	1.12	0.25	1.32	0.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	4.62
2	10800-14400	90-104@749.4-417: Western Fwy@10.9	104	417	261	248	0	8	3	0.19	0.20		0.03	0.02	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	90-196: Western Fwy@1280.5-417: Western Fwy@10.9	196	417	1253	1117	10	89	37	0.27	0.24	0.95	0.48	0.63	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	90			1514	1365	10	97	40	0.26	0.23	0.95	0.45	0.58	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	91-260: Hopkins Rd@76.3-419@20.9	260	419	435	401	0	27	7	2.12	2.05		3.05	2.78	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	91-260: Hopkins Rd@76.3-427: Hopkins Rd@13.9	260	427	411	349	2	53	7	0.37	0.38	0.17	0.27	0.44	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	91-426: Hopkins Rd@78.6-43: Hopkins Rd@14.4	426	43	573	540	1	23	7	0.84	0.86	0.60	0.53	0.72	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	91			1419	1290	3	103	21	1.10	1.10	0.31	1.06	1.31	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	92-43: Hopkins Rd@153.1-43: Hopkins Rd@182.8	43	43	573	540	1	23	7	0.70	0.71	0.60	0.37	0.60	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	92-194: Western Fwy@606.2-1907: Western Fwy@12.3	194	1907	1933	1830	7	62	34	0.54	0.55	0.39	0.34	0.60	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	92-414: Hopkins Rd@174.6-414: Hopkins Rd@204.8	414	414	846	750	2	80	14	0.42	0.45	0.30	0.24	0.24	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	92-1906@89.9-1907: Western Fwy@12.3	1906	1907	722	678	0	34	10	1.62	1.61		0.95	4.75	0.05	0.03		0.03	1.97	LOS_A	1	0.00	0.00
2	10800-14400	92			4074	3798	10	199	65	0.73	0.74	0.40	0.41	1.16	0.01	0.00	0.00	0.00	0.30	LOS_A	1	0.00	0.00
2	10800-14400	93-224: Western Fwy@24.6-149@43.1	224	149	281	217	2	53	9	0.51	0.52	1.52	0.46	0.38	0.02	0.03	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	93-224: Western Fwy@24.6-196: Western Fwy@41.3	224	196	1253	1117	10	89	37	0.41	0.38	1.17	0.56	0.73	0.00	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	93			1534	1334	12	142	46	0.43	0.40	1.22	0.52	0.66	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	94-949: Western Fwy@23.0-136@6.0	949	136	797	767	0	27	3	0.37	0.37		0.33	0.08	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	94-949: Western Fwy@23.0-389: Western Fwy  Deer Park Byp@4.2	949	389	1855	1738	7	69	41	0.37	0.38	0.20	0.25	0.30	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	94			2652	2505	7	96	44	0.37	0.38	0.20	0.27	0.29	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	95-952: Western Hwy@59.0-1039: Western Fwy@18.1	952	1039	442	413	0	24	5	0.92	0.93		0.74	1.33	0.02	0.02		0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	95-1038: Western Fwy  Deer Park Byp@184.1-1039: Western Fwy@18.1	1038	1039	1092	921	12	118	41	1.00	0.90	2.77	1.35	1.75	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	95			1534	1334	12	142	46	0.98	0.91	2.77	1.25	1.71	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	10800-14400	96-1904@24.9-147: Western Fwy  Deer Park Byp@16.2	1904	147	452	405	0	36	11	0.90	0.95		0.57	0.26	0.02	0.02		0.00	0.00	LOS_A	1	0.00	0.00
