$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	18000-21600	63-374: Westcott Pde@100.7-263: Leakes Rd@9.1	374	263	30	30	0	0	0	0.02	0.02				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	63-374: Westcott Pde@100.7-372: Leakes Rd@14.9	374	372	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	63-542: Leakes Rd@34.5-372: Leakes Rd@14.9	542	372	150	118	0	0	0	0.05	0.04				0.00	0.00				LOS_A	1	0.00	0.00	32	0.06	0.00	LOS_A	1
1	18000-21600	63-542: Leakes Rd@34.5-375: Westcott Pde@26.6	542	375	20	20	0	0	0	0.06	0.06				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	63-543: Leakes Rd@6.7-263: Leakes Rd@9.1	543	263	218	178	0	4	4	0.14	0.13		0.14	0.03	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	32	0.22	0.00	LOS_A	1
1	18000-21600	63-543: Leakes Rd@6.7-375: Westcott Pde@26.6	543	375	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	63			418	346	0	4	4	0.10	0.09		0.14	0.03	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	64	0.14	0.00	LOS_A	1
1	18000-21600	66-622: Neales Rd W@46.2-34: Neales Rd W@22.7	622	34	69	69	0	0	0	1.23	1.23				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-622: Neales Rd W@46.2-232: Hopkins Rd@9.0	622	232	260	252	0	2	4	0.58	0.53		2.26	2.32	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00	2	2.15	0.00	LOS_A	1
1	18000-21600	66-622: Neales Rd W@46.2-910: Melton Hwy@30.7	622	910	8	8	0	0	0	0.49	0.49				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-897: Hopkins Rd@13.5-35: Neales Rd W@48.6	897	35	225	213	0	6	4	1.23	1.21		1.47	1.97	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	2	1.94	0.00	LOS_A	1
1	18000-21600	66-897: Hopkins Rd@13.5-910: Melton Hwy@30.7	897	910	374	354	0	4	3	1.05	0.38		0.61	0.10	0.05	0.00		0.00	0.00	LOS_A	1	0.00	0.00	13	19.58	1.36	LOS_C	3
1	18000-21600	66-908: Melton Hwy@56.5-34: Neales Rd W@22.7	908	34	4	4	0	0	0	3.55	3.55				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-908: Melton Hwy@56.5-35: Neales Rd W@48.6	908	35	12	12	0	0	0	2.40	2.40				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-908: Melton Hwy@56.5-232: Hopkins Rd@9.0	908	232	288	265	0	6	4	0.96	0.87		0.66	0.11	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00	13	3.17	0.00	LOS_A	1
1	18000-21600	66-2206: Neales Rd W@67.0-35: Neales Rd W@48.6	2206	35	12	12	0	0	0	0.73	0.73				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-2206: Neales Rd W@67.0-232: Hopkins Rd@9.0	2206	232	46	45	0	0	1	3.28	3.22			6.13	0.00	0.00			0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-2206: Neales Rd W@67.0-910: Melton Hwy@30.7	2206	910	5	5	0	0	0	0.77	0.77				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66-271701@14.9-34: Neales Rd W@22.7	271701	34	310	288	0	13	9	0.89	0.82		1.80	1.81	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	66			1613	1527	0	31	25	1.03	0.84		1.39	1.61	0.01	0.00		0.00	0.00	LOS_A	1	0.00	0.00	30	10.13	0.59	LOS_B	2
1	18000-21600	67-230: Hopkins Rd@80.5-37@39.6	230	37	135	132	0	2	1	0.32	0.32		0.28	0.10	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	67-230: Hopkins Rd@80.5-426: Hopkins Rd@27.0	230	426	459	430	0	6	8	1.79	1.37		2.66	0.45	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	15	14.14	0.00	LOS_B	2
1	18000-21600	67-427: Hopkins Rd@65.2-231: Hopkins Rd@8.0	427	231	797	756	0	15	13	0.39	0.34		1.47	1.17	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	13	1.33	0.00	LOS_A	1
1	18000-21600	67-946@14.4-231: Hopkins Rd@8.0	946	231	112	99	0	8	3	0.27	0.26		0.39	0.36	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	2	0.30	0.00	LOS_A	1
1	18000-21600	67-946@14.4-426: Hopkins Rd@27.0	946	426	88	82	0	2	4	0.31	0.31		0.25	0.37	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	67			1591	1499	0	33	29	0.77	0.63		1.28	0.74	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	30	7.66	0.00	LOS_A	1
1	18000-21600	68-252: Hopkins Rd@35.3-55: Hopkins Rd@43.4	252	55	619	592	0	13	8	0.75	0.75		0.61	1.37	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	6	0.04	0.00	LOS_A	1
1	18000-21600	68-252: Hopkins Rd@35.3-66: Meskos Rd@23.0	252	66	74	57	0	6	4	4.46	4.10		4.73	5.87	0.02	0.00		0.00	0.30	LOS_A	1	0.00	0.00	7	6.36	0.00	LOS_A	1
1	18000-21600	68-252: Hopkins Rd@35.3-82: Sheahan Rd@25.9	252	82	41	34	0	4	3	4.14	3.99		4.85	4.91	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68-2153: Sheahan Rd@17.6-12: Hopkins Rd@3.8	2153	12	49	43	0	2	4	5.17	4.89		6.65	7.48	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68-2153: Sheahan Rd@17.6-55: Hopkins Rd@43.4	2153	55	37	35	0	1	1	2.17	2.10		3.70	3.36	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68-2153: Sheahan Rd@17.6-66: Meskos Rd@23.0	2153	66	0	0	0	0	0											LOS_A		0.03	34.51	0			LOS_A	
1	18000-21600	68-2157: Hopkins Rd@4.7-12: Hopkins Rd@3.8	2157	12	481	436	2	19	18	0.59	0.59	0.38	0.44	0.78	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	6	0.33	0.00	LOS_A	1
